Role,Name,Name Tag,Perk Name,Perk Tag,Desc,Teach Level
Survivor,Meg Thomas,MT,Quick & Quiet,QuickQuiet,You do not make as much noise as others when quickly vaulting over obstacles or hiding in Lockers. The vault and hide actions' noise detection and audio range is reduced by 100 %. Quick & Quiet can only be triggered once every 30/25/20 seconds.,30
Survivor,Meg Thomas,MT,Sprint Burst,SprintBurst,"When starting to run, break into a sprint at 150 % of your normal running speed for a maximum of 3 seconds. Causes the Exhausted Status Effect for 60/50/40 seconds. Sprint Burst cannot be used while Exhausted. You do not recover from Exhaustion while running.",35
Survivor,Meg Thomas,MT,Adrenaline,Adrenaline,You are fuelled by unexpected energy when on the verge of escape. Instantly heal one Health State and sprint at 150 % of your normal running speed for 5 seconds when the Exit Gates are powered. Adrenaline is on hold if you are disabled when it triggers and will activate upon being freed. Adrenaline will wake you up if you are asleep when it triggers. Adrenaline ignores Exhaustion. Causes the Exhausted Status Effect for 60/50/40 seconds. You do not recover from Exhaustion while running.,40
Survivor,Dwight Fairfield,DF,Bond,Bond,Unlocks potential in one's Aura-reading ability. Allies' Auras are revealed to you when they are within a range of 20/28/36 metres.,30
Survivor,Dwight Fairfield,DF,Prove Thyself,ProveThyself,Increases Repair speed by 10 % for each other Survivor working on a Generator within a range of 4 metres.  Gain 50/75/100 % more Bloodpoints for cooperative Actions. Survivors can only be affected by one Prove Thyself effect at a time.,35
Survivor,Dwight Fairfield,DF,Leader,Leader,"You're able to organise a team to cooperate more efficiently. Increases the other Survivors' Healing, Sabotage, Unhooking, Cleansing, Exit Gate Opening, and Chest Searching speeds by 15/20/25 % when they are within a range of 8 metres from you. Survivors can only be affected by one Leader effect at a time. This effect persists on other Survivors for 15 seconds after leaving Leader's range.",40
Survivor,Claudette Morel,CM,Empathy,Empathy,Unlocks potential in one's Aura-reading ability. Dying or Injured Allies' Auras are revealed to you when within 64/96/128 metres of range. Empathy does not reveal Auras of Allies when they are in the Killer's direct contact.,30
Survivor,Claudette Morel,CM,Botany Knowledge,BotanyKnowledge,You transform plants found around The Campfire into tinctures that slow down bleeding. Healing Speed and Healing Item Efficiency is increased by 11/22/33 %.,35
Survivor,Claudette Morel,CM,Self Care,SelfCare,Unlocks the ability to heal yourself without a Med-Kit at 50 % of the normal Healing speed. Increases the efficiency of Med-Kit self-heal by 10/15/20 %.,40
Survivor,Jake Park,JP,Iron Will,IronWill,You're able to concentrate and enter a meditative-like state to numb some pain. Grunts of Pain caused by injuries are reduced by 50/75/100 %.,30
Survivor,Jake Park,JP,Calm Spirit,CalmSpirit,Animals seem to trust you as they often stay calm in your presence. Reduces chances of alerting Crows by 80/90/100 %. Your calm spirit can overcome the urge to scream.,35
Survivor,Jake Park,JP,Saboteur,Saboteur,Unlocks potential in one's Aura-reading ability. • See Hook Auras in a radius of 56 metres from the pick-up spot if a Survivor is being carried. Unlocks the ability to sabotage Hooks without a Toolbox. • Sabotaging a Hook without a Toolbox takes 2.5 seconds. • The Sabotage action has a cool-down of 90/75/60 seconds.,40
Survivor,Nea Karlsson,NK,Balanced Landing,BalancedLanding,"Your agility is incomparable. Cat-like reflexes reduce your stagger duration from falls by 75 % and muffle your grunts from falling by 100 %. Upon landing, start sprinting at 150 % of your normal running speed for a maximum of 3 seconds if not exhausted. Causes the Exhausted Status Effect for 60/50/40 seconds. Balanced Landing cannot be used while Exhausted. You do not recover from Exhaustion while running. ",30
Survivor,Nea Karlsson,NK,Urban Evasion,UrbanEvasion,Years of evading the cops taught you a thing or two about stealth. Your Movement speed while crouching is increased by 90/95/100 %.,35
Survivor,Nea Karlsson,NK,Streetwise,Streetwise,"Long nights out taught you to do a lot with what you've got. Reduces Item Consumption rate by 15/20/25 % for you and Allies within a range of 8 metres. Once out of range, this effect persists for 15 seconds.",40
Survivor,Laurie Strode,LS,Sole Survivor,SoleSurvivor,"As more of your friends fall to the Killer, you become shrouded in isolation and the Killer's Aura-reading abilities towards you are disrupted.  Your Aura cannot be read by the Killer within a maximum range of 20/22/24 metres for each killed or sacrificed Survivor. Increases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",30
Survivor,Laurie Strode,LS,Object of Obsession,ObjectofObsession,"A supernatural bond links you to the Killer.  If you are looking in the Killer's direction, your link will reveal your Auras to each other. This effect applies only if you are outside of the Killer's Terror Radius. As the Killer's Obsession, this effect applies to a maximum range of 56/64/72 metres. Otherwise, it applies to a maximum range of 44/56/64 metres. Increases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",35
Survivor,Laurie Strode,LS,Decisive Strike,DecisiveStrike,"Using whatever is at hand, you stab at your aggressor in an ultimate attempt to escape. After being unhooked or unhooking yourself, Decisive Strike will become active and usable for 40/50/60 seconds. While Decisive Strike is active, when grabbed by the Killer, succeed a Skill Check to automatically escape the Killer's grasp and stun them for 5 seconds.  • Succeeding or failing the Skill Check will disable Decisive Strike. • Successfully stunning the Killer will result in you becoming the Obsession. Increases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",40
Survivor,Ace Visconti,AV,Open-Handed,OpenHanded,Strengthens the potential of you and your team's Aura-reading abilities. Increases Aura-reading ranges by 4/6/8 metres.,30
Survivor,Ace Visconti,AV,Up the Ante,UptheAnte,"All will be well in the end; you just know it. Your confidence strengthens the feeling of hope for those around you. For each other Survivor still alive, grant a 1/2/3 % Luck Bonus to all remaining Survivors.",35
Survivor,Ace Visconti,AV,Ace in the Hole,AceintheHole,"Lady Luck always seems to be throwing something good your way. When retrieving an Item from a Chest, there is a 100 % chance that an Add-on of Very Rare Rarity or lower will be attached to it. 10/25/50 % chance to find a second Add-on of Uncommon Rarity or lower. Ace in the Hole allows you to keep any Add-ons your Item has upon escaping.",40
Survivor,W. Bill Overbeck,BO,Left Behind,LeftBehind,"You'll get the job done... No matter the cost. When you are the last Survivor remaining in the Trial, the Aura of the Hatch is revealed to you within a range of 24/28/32 metres.",30
